25/05/2018 00:00,25/05/2018 00:09,25/05/2018 00:19,25/05/2018 00:28,25/05/2018 00:38,25/05/2018 00:48,25/05/2018 00:57,25/05/2018 01:07,25/05/2018 01:16,25/05/2018 01:26,25/05/2018 01:35,25/05/2018 01:45,25/05/2018 01:55,25/05/2018 02:04,25/05/2018 02:14,25/05/2018 02:23,25/05/2018 02:33,25/05/2018 02:42,25/05/2018 02:52,25/05/2018 03:02,25/05/2018 03:11,25/05/2018 03:21,25/05/2018 03:30,25/05/2018 03:40,25/05/2018 03:49,25/05/2018 03:59,25/05/2018 04:09,25/05/2018 04:18,25/05/2018 04:28,25/05/2018 04:37,25/05/2018 04:47,25/05/2018 04:57,25/05/2018 05:06,25/05/2018 05:16,25/05/2018 05:25,25/05/2018 05:35,25/05/2018 05:44,25/05/2018 05:54,25/05/2018 06:04,25/05/2018 06:13,25/05/2018 06:23,25/05/2018 06:32,25/05/2018 06:42,25/05/2018 06:51,25/05/2018 07:01,25/05/2018 07:11,25/05/2018 07:20,25/05/2018 07:30,25/05/2018 07:39,25/05/2018 07:49,25/05/2018 07:58,25/05/2018 08:08,25/05/2018 08:18,25/05/2018 08:27,25/05/2018 08:37,25/05/2018 08:46,25/05/2018 08:56,25/05/2018 09:05,25/05/2018 09:15,25/05/2018 09:25,25/05/2018 09:34,25/05/2018 09:44,25/05/2018 09:53,25/05/2018 10:03,25/05/2018 10:13,25/05/2018 10:22,25/05/2018 10:32,25/05/2018 10:41,25/05/2018 10:51,25/05/2018 11:00,25/05/2018 11:10,25/05/2018 11:20,25/05/2018 11:29,25/05/2018 11:39,25/05/2018 11:48,25/05/2018 11:58,25/05/2018 12:07,25/05/2018 12:17,25/05/2018 12:27,25/05/2018 12:36,25/05/2018 12:46,25/05/2018 12:55,25/05/2018 13:05,25/05/2018 13:14,25/05/2018 13:24,25/05/2018 13:34,25/05/2018 13:43,25/05/2018 13:53,25/05/2018 14:02,25/05/2018 14:12,25/05/2018 14:21,25/05/2018 14:31,25/05/2018 14:41,25/05/2018 14:50,25/05/2018 15:00,25/05/2018 15:09,25/05/2018 15:19,25/05/2018 15:28,25/05/2018 15:38,25/05/2018 15:48,25/05/2018 15:57,25/05/2018 16:07,25/05/2018 16:16,25/05/2018 16:26,25/05/2018 16:36,25/05/2018 16:45,25/05/2018 16:55,25/05/2018 17:04,25/05/2018 17:14,25/05/2018 17:23,25/05/2018 17:33,25/05/2018 17:43,25/05/2018 17:52,25/05/2018 18:02,25/05/2018 18:11,25/05/2018 18:21,25/05/2018 18:30,25/05/2018 18:40,25/05/2018 18:50,25/05/2018 18:59,25/05/2018 19:09,25/05/2018 19:18,25/05/2018 19:28,25/05/2018 19:37,25/05/2018 19:47,25/05/2018 19:57,25/05/2018 20:06,25/05/2018 20:16,25/05/2018 20:25,25/05/2018 20:35,25/05/2018 20:44,25/05/2018 20:54,25/05/2018 21:04,25/05/2018 21:13,25/05/2018 21:23,25/05/2018 21:32,25/05/2018 21:42,25/05/2018 21:52,25/05/2018 22:01,25/05/2018 22:11,25/05/2018 22:20,25/05/2018 22:30,25/05/2018 22:39,25/05/2018 22:49,25/05/2018 22:59,25/05/2018 23:08,25/05/2018 23:18,25/05/2018 23:27,25/05/2018 23:37,25/05/2018 23:46,25/05/2018 23:56
634,804,456,707,482,728,654,474,470,437,451,349,305,604,454,578,528,316,347,315,293,157,163,373,279,448,293,358,312,449,597,335,530,300,315,335,500,422,438,383,531,552,537,1733,1297,1071,1733,1028,1214,1741,1164,621,1056,700,993,886,733,1341,1246,1034,1291,836,1163,1109,827,834,977,870,660,1134,1166,1569,2823,2620,4381,1868,3550,8648,6820,10411,7508,696,749,877,758,1410,1423,912,658,750,1284,746,2537,3908,541,213,176,289,569,318,243,136,468,337,0,218,270,95,520,574,181,396,208,569,212,280,212,293,281,358,413,265,356,314,458,439,417,257,575,484,324,449,522,248,500,446,392,645,308,369,348,185,146,325,419,325,127,363,302,593,170
717,896,574,620,601,662,628,558,631,465,578,499,448,534,473,679,627,400,371,307,348,195,239,400,287,390,297,425,360,410,613,315,538,426,417,364,515,656,545,361,548,709,670,724,982,938,1141,989,1000,1167,857,625,738,740,766,784,635,1107,981,539,877,779,932,572,756,697,682,731,658,979,1046,1067,1534,923,1159,1015,816,1301,1149,2602,2337,447,517,663,470,575,641,434,494,507,439,483,683,835,377,266,277,255,435,321,336,313,240,251,1,231,230,367,506,419,289,361,176,383,331,350,379,339,297,331,492,288,347,478,525,370,364,427,630,473,493,543,571,445,529,492,466,358,397,283,417,344,327,416,417,310,552,505,399,613,367
306,375,317,250,269,246,258,256,258,210,260,263,230,224,241,288,265,202,164,129,155,122,124,172,123,141,129,124,297,170,244,145,247,218,217,180,229,337,322,195,244,430,285,363,418,401,529,432,562,451,361,282,234,334,303,343,326,451,473,318,435,330,426,213,330,244,267,329,305,405,439,410,453,414,299,368,397,360,319,251,193,212,262,277,157,163,203,145,226,280,62,212,256,300,174,151,271,111,131,170,112,113,116,140,26,159,158,134,227,162,170,171,107,222,203,105,221,166,140,162,257,167,234,289,298,217,209,266,300,265,285,274,270,282,298,265,238,239,214,148,239,247,225,219,221,225,262,231,209,279,250
159,215,211,154,151,161,154,152,122,139,150,162,148,140,158,188,151,134,105,80,93,91,82,104,77,88,83,84,123,108,148,102,172,143,153,129,150,207,235,191,161,292,265,272,266,263,344,274,431,283,277,191,343,221,193,228,229,290,348,284,303,208,330,238,218,143,202,227,219,270,302,291,310,298,247,257,320,258,230,249,179,161,219,207,117,163,141,127,162,225,62,149,173,184,121,120,224,78,161,126,50,31,160,133,113,163,167,76,156,148,127,126,105,169,149,120,150,119,100,117,186,128,226,219,236,208,187,205,213,211,214,198,190,217,237,199,173,198,163,181,178,198,168,162,177,225,66,141,148,191,187
68,123,123,101,73,92,95,82,81,103,76,84,88,90,93,126,90,89,72,56,54,64,52,63,51,106,63,73,89,81,90,81,144,94,118,104,111,112,163,84,119,154,203,204,190,190,222,186,289,194,186,154,1104,162,148,174,169,230,278,240,203,146,222,183,170,115,178,185,200,235,281,283,318,282,253,227,263,213,208,285,238,153,212,195,149,213,123,171,150,194,126,136,146,132,101,117,130,75,1532,104,174,214,187,137,149,153,143,163,133,132,103,114,110,138,108,136,97,100,86,94,149,111,172,176,188,191,153,167,181,181,174,200,158,171,202,170,141,170,149,187,143,147,114,139,157,85,149,125,112,155,127
5,19,9,14,5,3,12,6,21,19,87,5,8,11,7,16,13,10,11,9,5,6,5,7,7,5,22,24,17,18,7,16,36,32,19,17,21,9,16,16,21,7,15,25,35,31,26,29,21,31,9,35,15,29,35,35,24,61,40,28,21,26,14,5,38,26,23,43,63,81,84,96,73,103,59,57,36,43,60,52,50,44,42,40,66,26,33,59,49,30,16,47,42,28,24,32,5,31,2,18,6,0,13,21,2,14,14,8,36,12,26,27,18,22,12,6,30,22,22,14,26,20,13,26,22,22,14,25,44,28,28,40,36,23,32,32,23,25,36,15,22,15,25,29,25,25,0,42,17,39,11
