14/05/2017 00:04,14/05/2017 00:14,14/05/2017 00:24,14/05/2017 00:33,14/05/2017 00:43,14/05/2017 00:52,14/05/2017 01:07,14/05/2017 01:16,14/05/2017 01:26,14/05/2017 01:35,14/05/2017 01:45,14/05/2017 01:54,14/05/2017 02:04,14/05/2017 02:14,14/05/2017 02:23,14/05/2017 02:33,14/05/2017 02:42,14/05/2017 02:52,14/05/2017 03:01,14/05/2017 03:11,14/05/2017 03:21,14/05/2017 03:30,14/05/2017 03:40,14/05/2017 03:49,14/05/2017 03:59,14/05/2017 04:08,14/05/2017 04:18,14/05/2017 04:27,14/05/2017 04:37,14/05/2017 04:47,14/05/2017 04:56,14/05/2017 05:06,14/05/2017 05:15,14/05/2017 05:25,14/05/2017 05:34,14/05/2017 05:44,14/05/2017 05:54,14/05/2017 06:03,14/05/2017 06:13,14/05/2017 06:22,14/05/2017 06:32,14/05/2017 06:41,14/05/2017 06:51,14/05/2017 07:01,14/05/2017 07:10,14/05/2017 07:20,14/05/2017 07:29,14/05/2017 07:39,14/05/2017 07:48,14/05/2017 07:58,14/05/2017 08:08,14/05/2017 08:17,14/05/2017 08:27,14/05/2017 08:36,14/05/2017 08:46,14/05/2017 08:55,14/05/2017 09:05,14/05/2017 09:15,14/05/2017 09:24,14/05/2017 09:34,14/05/2017 09:43,14/05/2017 09:53,14/05/2017 10:02,14/05/2017 10:12,14/05/2017 10:22,14/05/2017 10:31,14/05/2017 10:41,14/05/2017 10:50,14/05/2017 11:00,14/05/2017 11:09,14/05/2017 11:19,14/05/2017 11:29,14/05/2017 11:38,14/05/2017 11:48,14/05/2017 11:57,14/05/2017 12:07,14/05/2017 12:16,14/05/2017 12:26,14/05/2017 12:36,14/05/2017 12:45,14/05/2017 12:55,14/05/2017 13:04,14/05/2017 13:14,14/05/2017 13:23,14/05/2017 13:33,14/05/2017 13:43,14/05/2017 13:52,14/05/2017 14:02,14/05/2017 14:11,14/05/2017 14:21,14/05/2017 14:30,14/05/2017 14:40,14/05/2017 14:50,14/05/2017 14:59,14/05/2017 15:09,14/05/2017 15:18,14/05/2017 15:28,14/05/2017 15:37,14/05/2017 15:47,14/05/2017 15:57,14/05/2017 16:06,14/05/2017 16:16,14/05/2017 16:25,14/05/2017 16:35,14/05/2017 16:44,14/05/2017 16:54,14/05/2017 17:04,14/05/2017 17:13,14/05/2017 17:23,14/05/2017 17:32,14/05/2017 17:42,14/05/2017 17:51,14/05/2017 18:01,14/05/2017 18:11,14/05/2017 18:20,14/05/2017 18:30,14/05/2017 18:39,14/05/2017 18:49,14/05/2017 18:58,14/05/2017 19:08,14/05/2017 19:18,14/05/2017 19:27,14/05/2017 19:37,14/05/2017 19:46,14/05/2017 19:56,14/05/2017 20:05,14/05/2017 20:15,14/05/2017 20:25,14/05/2017 20:34,14/05/2017 20:44,14/05/2017 20:53,14/05/2017 21:03,14/05/2017 21:12,14/05/2017 21:22,14/05/2017 21:32,14/05/2017 21:41,14/05/2017 21:51,14/05/2017 22:00,14/05/2017 22:10,14/05/2017 22:19,14/05/2017 22:29,14/05/2017 22:39,14/05/2017 22:48,14/05/2017 22:58,14/05/2017 23:07,14/05/2017 23:17,14/05/2017 23:26,14/05/2017 23:36,14/05/2017 23:46,14/05/2017 23:55
574,509,383,553,488,582,397,492,106,176,203,189,246,129,230,35,33,371,367,407,283,529,376,394,281,354,550,526,463,484,534,356,625,233,529,833,1251,1566,2279,1762,1842,1272,1553,2291,1272,1483,1374,2173,1919,1920,1391,2341,2509,3040,3267,2066,2705,2501,1148,4027,10878,6487,11729,12069,10652,9373,10030,4291,494,622,2369,1684,761,574,894,603,688,438,270,630,302,574,430,876,1198,797,655,890,668,322,350,421,532,104,478,79,394,324,26,129,450,103,11,158,34,336,200,186,89,439,468,293,21,21,22,235,198,73,74,514,46,149,281,278,465,293,303,135,394,533,396,312,30,337,244,445,163,370,242,24,232,349,174,577,117,274,321,135,325,40
844,845,582,685,557,487,520,498,498,557,433,615,284,471,366,265,251,301,224,299,297,411,208,236,272,276,398,394,497,203,429,336,441,545,470,549,958,763,1638,1372,1513,930,1295,1640,1162,1236,1233,1975,1489,1471,1978,1491,1457,1411,1724,2333,1849,2118,1680,1256,1759,2722,4542,6686,5788,5117,4854,2334,582,773,1153,1106,648,560,620,363,387,492,160,243,303,643,565,907,448,361,377,665,446,142,241,294,325,502,307,550,270,251,263,221,343,219,238,327,208,298,326,362,137,220,292,186,186,198,209,145,205,279,194,399,289,251,343,284,430,224,280,596,278,262,404,332,428,430,261,379,263,448,507,322,249,267,267,337,384,260,429,403,283,237
836,568,594,683,633,546,462,432,500,583,518,513,410,389,334,439,431,337,291,355,392,377,309,272,345,332,391,378,422,322,307,379,452,494,489,308,510,726,614,692,773,748,717,1651,729,706,720,936,1258,1125,1309,1304,1258,1147,1258,1333,691,771,1124,941,914,497,1371,1185,1000,998,1427,688,290,338,956,425,642,211,319,330,295,249,151,59,209,401,334,436,444,354,378,490,285,312,378,368,337,528,327,645,247,377,475,396,403,376,404,319,331,322,269,187,250,237,244,340,343,368,372,237,373,427,339,394,431,366,402,386,360,328,352,349,414,362,424,437,321,235,390,422,410,511,497,451,340,318,382,177,418,308,407,414,315,350
773,688,626,710,680,713,567,561,352,553,580,361,576,337,561,513,512,528,506,506,465,420,463,450,426,446,472,413,393,455,495,430,537,435,492,640,712,815,734,846,997,746,825,1516,707,856,724,1149,1215,984,983,1108,1119,1100,1235,957,1069,1054,875,1020,1051,809,902,843,919,505,925,589,609,659,875,710,762,775,729,822,815,619,655,573,618,827,731,725,868,791,771,866,785,668,702,651,644,380,603,437,588,589,533,575,564,541,261,490,511,489,468,410,486,470,410,467,440,461,425,699,524,483,428,480,475,436,461,490,492,443,443,412,497,550,472,499,423,461,459,508,482,548,450,273,428,435,427,441,413,436,410,397,368,392
525,590,507,541,498,472,469,463,546,428,415,606,397,547,405,395,392,380,350,349,329,348,305,344,311,323,330,297,295,296,342,332,354,330,334,586,614,551,689,618,608,552,585,588,616,772,638,1038,657,663,697,657,643,695,679,691,817,860,676,729,800,935,669,1100,842,1237,665,803,858,844,657,854,670,793,832,796,813,865,765,829,793,831,908,909,759,738,755,754,807,652,642,603,612,668,608,643,581,533,532,489,478,466,619,508,448,435,462,497,425,445,412,362,381,370,383,552,394,355,350,385,357,356,374,398,394,324,365,417,342,373,341,354,341,387,322,394,356,367,334,431,333,340,336,432,341,341,325,324,336,312
29,9,34,30,25,9,23,17,1,35,19,2,9,0,5,19,18,7,4,7,12,22,5,8,10,9,12,13,22,5,5,18,12,29,15,10,10,19,8,9,5,31,10,5,46,26,38,15,24,39,75,28,22,27,15,86,7,6,87,33,38,4,127,4,27,1,94,27,3,6,52,10,49,7,9,20,13,4,6,2,7,8,5,7,15,12,18,11,6,18,18,19,16,2,23,1,9,22,9,22,21,21,0,13,17,18,8,8,10,10,17,12,22,18,9,3,12,16,17,21,18,20,22,19,10,10,18,12,11,7,13,14,11,7,11,19,15,13,26,0,14,12,19,6,31,10,22,30,27,18
