28/05/2018 00:07,28/05/2018 00:17,28/05/2018 00:27,28/05/2018 00:36,28/05/2018 00:46,28/05/2018 00:55,28/05/2018 01:05,28/05/2018 01:14,28/05/2018 01:24,28/05/2018 01:34,28/05/2018 01:43,28/05/2018 01:53,28/05/2018 02:02,28/05/2018 02:12,28/05/2018 02:22,28/05/2018 02:31,28/05/2018 02:41,28/05/2018 02:50,28/05/2018 03:00,28/05/2018 03:09,28/05/2018 03:19,28/05/2018 03:29,28/05/2018 03:38,28/05/2018 03:48,28/05/2018 03:57,28/05/2018 04:07,28/05/2018 04:16,28/05/2018 04:26,28/05/2018 04:36,28/05/2018 04:45,28/05/2018 04:55,28/05/2018 05:04,28/05/2018 05:14,28/05/2018 05:23,28/05/2018 05:33,28/05/2018 05:43,28/05/2018 05:52,28/05/2018 06:02,28/05/2018 06:11,28/05/2018 06:21,28/05/2018 06:30,28/05/2018 06:40,28/05/2018 06:50,28/05/2018 06:59,28/05/2018 07:09,28/05/2018 07:18,28/05/2018 07:28,28/05/2018 07:37,28/05/2018 07:47,28/05/2018 07:57,28/05/2018 08:06,28/05/2018 08:16,28/05/2018 08:25,28/05/2018 08:35,28/05/2018 08:45,28/05/2018 08:54,28/05/2018 09:04,28/05/2018 09:13,28/05/2018 09:23,28/05/2018 09:32,28/05/2018 09:42,28/05/2018 09:52,28/05/2018 10:01,28/05/2018 10:11,28/05/2018 10:20,28/05/2018 10:30,28/05/2018 10:39,28/05/2018 10:49,28/05/2018 10:59,28/05/2018 11:08,28/05/2018 11:18,28/05/2018 11:27,28/05/2018 11:37,28/05/2018 11:46,28/05/2018 11:56,28/05/2018 12:06,28/05/2018 12:15,28/05/2018 12:25,28/05/2018 12:34,28/05/2018 12:44,28/05/2018 12:53,28/05/2018 13:03,28/05/2018 13:13,28/05/2018 13:22,28/05/2018 13:32,28/05/2018 13:41,28/05/2018 13:51,28/05/2018 14:01,28/05/2018 14:10,28/05/2018 14:20,28/05/2018 14:29,28/05/2018 14:39,28/05/2018 14:48,28/05/2018 14:58,28/05/2018 15:08,28/05/2018 15:17,28/05/2018 15:27,28/05/2018 15:36,28/05/2018 15:46,28/05/2018 15:55,28/05/2018 16:05,28/05/2018 16:15,28/05/2018 16:24,28/05/2018 16:34,28/05/2018 16:43,28/05/2018 16:53,28/05/2018 17:02,28/05/2018 17:12,28/05/2018 17:22,28/05/2018 17:31,28/05/2018 17:41,28/05/2018 17:50,28/05/2018 18:00,28/05/2018 18:09,28/05/2018 18:19,28/05/2018 18:29,28/05/2018 18:38,28/05/2018 18:48,28/05/2018 18:57,28/05/2018 19:07,28/05/2018 19:16,28/05/2018 19:26,28/05/2018 19:36,28/05/2018 19:45,28/05/2018 19:55,28/05/2018 20:04,28/05/2018 20:14,28/05/2018 20:23,28/05/2018 20:33,28/05/2018 20:43,28/05/2018 20:52,28/05/2018 21:02,28/05/2018 21:11,28/05/2018 21:21,28/05/2018 21:30,28/05/2018 21:40,28/05/2018 21:50,28/05/2018 21:59,28/05/2018 22:09,28/05/2018 22:18,28/05/2018 22:28,28/05/2018 22:38,28/05/2018 22:47,28/05/2018 22:57,28/05/2018 23:06,28/05/2018 23:16,28/05/2018 23:25,28/05/2018 23:35,28/05/2018 23:45,28/05/2018 23:54
238,309,311,341,280,649,620,539,855,1328,1509,1729,1736,1499,1522,1667,1993,2265,2082,2175,1954,1677,1366,997,1021,737,627,540,672,722,946,875,1083,398,268,480,470,559,552,1236,857,957,1154,1503,1915,2463,2242,2110,1957,1861,1584,1626,1359,1569,1035,811,1015,1006,1319,1644,1743,1669,2006,2044,2046,2277,1536,1652,1937,1615,1546,1584,1479,1374,1290,1138,1321,1285,1530,1481,2520,2693,3428,3093,3679,4125,5329,4511,4918,6891,6693,6126,5241,4408,2383,1555,1262,1417,1034,1052,818,640,489,581,243,226,235,135,414,333,63,215,67,194,296,177,389,255,380,283,421,430,211,367,291,520,356,304,233,482,358,640,634,623,314,365,274,310,277,209,274,292,223,273,434,217,319,205,5,233
294,294,427,450,364,580,505,550,1052,1377,1597,1860,1964,1841,2079,1952,2012,2310,2071,1896,1700,1730,1462,1088,1153,898,889,836,996,1104,1090,1250,1199,710,618,779,904,816,789,1063,1505,886,1219,1440,1450,1991,2283,1856,1569,1806,1174,1327,1199,1503,1001,792,830,975,1155,1236,1627,1863,2214,2521,2671,2758,2213,2378,2847,3025,2972,2891,2861,2538,3097,2808,2679,3037,3348,3238,3033,2340,2887,2732,2593,2549,2833,2748,3071,2944,3737,4314,5878,5185,2535,1873,981,977,890,940,800,653,546,405,400,304,305,249,399,403,320,232,194,333,424,180,288,190,358,311,389,433,304,502,308,664,467,296,226,477,512,528,499,621,451,501,370,464,374,285,307,299,302,318,472,207,315,276,328,251
197,151,271,250,339,341,277,346,537,704,893,986,998,1119,1103,1073,1080,987,972,922,820,848,727,629,585,548,596,559,604,539,682,741,688,504,475,518,578,467,593,752,770,564,572,688,798,1028,965,868,874,976,691,794,669,633,508,423,335,414,507,458,674,685,907,928,1027,915,892,1128,1310,1390,1624,1497,1538,1249,1613,1496,1525,1642,1737,1787,1218,760,848,799,680,616,482,504,412,521,566,460,1591,1658,860,628,375,364,295,394,374,265,267,198,249,175,185,172,190,219,299,206,178,213,253,103,250,143,169,189,182,309,226,311,212,344,188,148,151,211,291,294,316,284,275,288,225,212,277,227,193,197,179,193,230,135,161,174,305,153
178,174,228,196,368,312,296,308,489,604,745,811,837,938,886,865,866,745,742,731,646,637,591,521,525,436,493,469,481,425,562,575,571,422,416,427,427,468,526,781,451,531,509,690,736,779,705,913,886,800,672,625,522,399,397,315,275,294,339,359,421,384,626,534,605,346,458,655,726,703,839,839,856,684,821,767,915,885,816,917,681,420,332,408,425,447,333,348,81,327,223,61,737,605,381,299,242,248,173,260,266,152,196,190,197,142,152,151,171,175,206,216,176,173,203,126,259,178,127,152,174,292,199,249,185,246,151,154,143,217,209,270,263,199,242,229,184,226,255,212,168,171,148,165,171,130,132,147,46,129
189,217,212,187,317,297,293,291,479,510,634,702,736,755,805,761,701,701,637,618,566,563,595,502,490,374,433,431,440,527,484,506,506,371,373,389,466,508,489,737,749,477,544,614,579,631,955,945,789,663,539,448,403,284,306,258,326,250,262,330,299,271,468,367,462,385,427,344,385,394,336,369,362,361,413,416,432,438,322,475,439,482,430,458,356,377,337,450,415,265,229,517,515,243,205,246,211,220,286,215,233,257,177,205,176,146,154,156,248,181,137,228,177,163,196,233,245,195,126,138,198,259,167,218,170,194,219,164,140,223,160,236,242,173,239,223,183,255,234,209,180,166,157,173,160,151,145,155,169,132
47,24,38,49,23,43,38,49,31,61,71,79,68,76,83,112,89,105,102,95,100,100,105,109,76,60,69,79,90,49,73,99,77,58,57,73,32,46,82,86,39,54,47,30,48,97,65,69,59,73,41,41,46,53,28,44,49,52,55,39,58,52,42,62,31,15,21,65,60,50,81,84,49,43,31,33,103,41,76,57,41,26,5,26,47,55,49,19,3,65,143,0,81,317,77,48,83,73,10,62,63,10,49,32,33,46,42,38,61,61,80,38,30,65,48,56,30,20,46,26,23,30,19,37,28,34,24,30,21,11,35,23,46,48,37,59,47,25,33,38,50,33,50,46,49,43,48,45,33,36
