,2018-05-16 00:24:00,2018-05-16 00:34:00,2018-05-16 00:44:00,2018-05-16 00:53:00,2018-05-16 01:03:00,2018-05-16 01:12:00,2018-05-16 01:22:00,2018-05-16 01:32:00,2018-05-16 01:41:00,2018-05-16 01:51:00,2018-05-16 02:00:00,2018-05-16 02:10:00,2018-05-16 02:19:00,2018-05-16 02:29:00,2018-05-16 02:39:00,2018-05-16 02:48:00,2018-05-16 02:58:00,2018-05-16 03:07:00,2018-05-16 03:17:00,2018-05-16 03:26:00,2018-05-16 03:36:00,2018-05-16 03:46:00,2018-05-16 03:55:00,2018-05-16 04:05:00,2018-05-16 04:14:00,2018-05-16 04:24:00,2018-05-16 04:33:00,2018-05-16 04:43:00,2018-05-16 04:53:00,2018-05-16 05:02:00,2018-05-16 05:12:00,2018-05-16 05:21:00,2018-05-16 05:31:00,2018-05-16 05:40:00,2018-05-16 05:50:00,2018-05-16 06:00:00,2018-05-16 06:09:00,2018-05-16 06:19:00,2018-05-16 06:28:00,2018-05-16 06:38:00,2018-05-16 06:48:00,2018-05-16 06:57:00,2018-05-16 07:07:00,2018-05-16 07:16:00,2018-05-16 07:26:00,2018-05-16 07:35:00,2018-05-16 07:45:00,2018-05-16 07:55:00,2018-05-16 08:04:00,2018-05-16 08:14:00,2018-05-16 08:23:00,2018-05-16 08:33:00,2018-05-16 08:42:00,2018-05-16 08:52:00,2018-05-16 09:02:00,2018-05-16 09:11:00,2018-05-16 09:21:00,2018-05-16 09:30:00,2018-05-16 09:40:00,2018-05-16 09:49:00,2018-05-16 09:59:00,2018-05-16 10:09:00,2018-05-16 10:18:00,2018-05-16 10:28:00,2018-05-16 10:37:00,2018-05-16 10:47:00,2018-05-16 10:56:00,2018-05-16 11:06:00,2018-05-16 11:16:00,2018-05-16 11:25:00,2018-05-16 11:35:00,2018-05-16 11:44:00,2018-05-16 11:54:00,2018-05-16 12:04:00,2018-05-16 12:13:00,2018-05-16 12:23:00,2018-05-16 12:32:00,2018-05-16 12:42:00,2018-05-16 12:51:00,2018-05-16 13:01:00,2018-05-16 13:11:00,2018-05-16 13:20:00,2018-05-16 13:30:00,2018-05-16 13:39:00,2018-05-16 13:49:00,2018-05-16 13:58:00,2018-05-16 14:08:00,2018-05-16 14:18:00,2018-05-16 14:27:00,2018-05-16 14:37:00,2018-05-16 14:46:00,2018-05-16 14:56:00,2018-05-16 15:05:00,2018-05-16 15:15:00,2018-05-16 15:25:00,2018-05-16 15:34:00,2018-05-16 15:44:00,2018-05-16 15:53:00,2018-05-16 16:03:00,2018-05-16 16:13:00,2018-05-16 16:22:00,2018-05-16 16:32:00,2018-05-16 16:41:00,2018-05-16 16:51:00,2018-05-16 17:00:00,2018-05-16 17:10:00,2018-05-16 17:20:00,2018-05-16 17:29:00,2018-05-16 17:39:00,2018-05-16 17:48:00,2018-05-16 17:58:00,2018-05-16 18:07:00,2018-05-16 18:17:00,2018-05-16 18:27:00,2018-05-16 18:36:00,2018-05-16 18:46:00,2018-05-16 18:55:00,2018-05-16 19:05:00,2018-05-16 19:14:00,2018-05-16 19:24:00,2018-05-16 19:34:00,2018-05-16 19:43:00,2018-05-16 19:53:00,2018-05-16 20:02:00,2018-05-16 20:12:00,2018-05-16 20:22:00,2018-05-16 20:31:00,2018-05-16 20:41:00,2018-05-16 20:50:00,2018-05-16 21:00:00,2018-05-16 21:09:00,2018-05-16 21:19:00,2018-05-16 21:29:00,2018-05-16 21:38:00,2018-05-16 21:48:00,2018-05-16 21:57:00,2018-05-16 22:07:00,2018-05-16 22:16:00,2018-05-16 22:26:00,2018-05-16 22:36:00,2018-05-16 22:45:00,2018-05-16 22:55:00,2018-05-16 23:04:00,2018-05-16 23:14:00,2018-05-16 23:23:00,2018-05-16 23:33:00,2018-05-16 23:43:00,2018-05-16 23:52:00,2018-05-17 00:02:00
CH1,303,152,302,104,383,53,88,264,255,47,211,176,49,204,50,182,88,102,128,147,248,166,200,176,294,172,154,277,285,314,116,105,318,435,214,360,363,393,1163,565,843,1309,795,1114,984,994,1153,1356,1420,1359,1544,1985,1800,1422,937,1065,1090,2194,3245,2269,4951,3317,3873,2676,2366,2282,2422,1999,1746,2760,2166,3464,2517,987,1146,2403,2946,1890,448,487,681,609,590,260,435,415,488,697,420,409,236,56,183,347,455,254,465,398,543,222,235,23,409,406,350,414,2,0,265,160,363,427,711,65,317,52,421,615,247,296,495,625,428,553,660,685,360,685,631,261,387,468,1052,411,346,363,433,308,348,170,92,295,314,362,342,234,220,222,241
CH2,353,353,303,223,314,198,172,294,248,173,288,118,157,166,142,216,218,143,116,196,181,202,153,117,275,118,114,223,308,266,176,110,231,363,155,289,279,337,914,807,1269,1227,984,1088,908,1000,1014,1287,1143,1149,1651,1380,596,744,953,838,780,910,1377,1919,1947,2316,2735,2362,2406,2524,3314,2546,3232,3630,3695,4691,4197,2855,2882,4500,3366,2565,2028,1672,1635,604,597,335,405,427,520,539,307,323,419,210,171,314,344,359,748,306,506,240,206,97,275,263,434,306,29,3,224,182,321,198,669,166,337,353,301,598,202,235,421,620,477,529,590,561,495,705,498,239,254,440,920,486,347,347,379,338,286,216,247,360,416,413,394,414,408,354,273
CH3,220,251,192,175,121,196,162,204,195,180,209,134,157,141,174,154,183,160,109,164,107,160,124,107,116,93,98,84,145,120,150,106,158,182,143,191,220,212,425,603,625,778,759,603,464,511,586,699,660,635,756,668,451,382,486,408,428,437,341,531,596,425,356,574,728,772,827,1128,1322,1319,1464,1710,1742,1551,1604,1855,1262,1162,1478,1219,1302,293,283,254,270,266,228,203,201,122,273,149,122,150,126,394,390,262,216,169,133,119,111,86,206,148,70,27,91,135,132,110,287,149,212,174,109,275,121,86,194,232,231,245,272,228,242,333,293,223,209,334,354,239,238,192,166,153,135,172,218,263,267,262,256,303,279,285,198
CH4,189,193,196,166,79,204,192,194,213,187,191,193,164,179,203,156,175,192,152,165,147,168,148,155,76,142,128,71,101,148,162,137,191,194,221,202,248,259,318,546,591,831,722,527,538,445,562,576,591,475,505,567,387,340,352,303,380,366,364,244,411,227,302,253,446,316,511,641,508,842,581,798,839,660,827,702,713,633,734,735,700,216,208,230,257,228,175,157,199,78,220,165,144,145,85,441,243,307,175,254,158,166,154,113,183,166,129,106,62,152,114,162,206,152,185,219,124,197,122,77,163,119,167,180,203,170,153,241,310,267,346,327,207,191,234,190,177,178,157,177,210,237,221,253,234,267,235,258,206
CH5,181,194,202,181,303,199,202,198,212,184,194,211,175,205,199,172,178,197,188,173,177,182,178,187,229,204,166,225,204,213,181,178,212,230,262,233,263,314,318,499,733,898,677,546,707,502,544,511,546,378,378,469,308,322,287,264,306,312,322,432,317,418,417,395,368,505,435,344,574,511,635,478,552,664,591,700,512,425,528,431,387,200,197,227,256,227,269,217,223,292,195,194,184,198,330,382,405,277,359,291,213,207,256,234,328,226,219,223,280,185,247,224,205,170,194,238,227,183,144,231,180,253,243,176,183,196,233,219,281,262,334,281,259,318,243,217,233,238,236,196,206,229,210,247,296,255,222,236,220
CH6,36,14,25,46,16,26,25,36,24,25,41,17,31,24,20,32,34,21,23,31,14,32,29,18,13,27,28,14,19,15,31,32,22,25,20,43,34,35,125,74,95,110,95,117,67,105,64,75,80,58,70,51,33,55,53,54,25,44,19,14,56,37,40,44,72,20,47,164,19,51,15,80,75,1,86,3,47,94,7,54,87,59,66,44,41,51,29,50,49,20,34,33,33,35,22,28,9,21,28,13,41,30,22,26,56,36,43,17,20,39,26,26,53,37,51,29,18,62,30,28,39,4,37,58,47,59,10,66,25,23,15,26,23,29,40,33,33,17,30,38,34,42,44,31,142,47,44,36,35
