,2017-08-19 00:22:00,2017-08-19 00:32:00,2017-08-19 00:42:00,2017-08-19 00:51:00,2017-08-19 01:05:00,2017-08-19 01:15:00,2017-08-19 01:24:00,2017-08-19 01:34:00,2017-08-19 01:43:00,2017-08-19 01:53:00,2017-08-19 02:03:00,2017-08-19 02:12:00,2017-08-19 02:22:00,2017-08-19 02:31:00,2017-08-19 02:41:00,2017-08-19 02:50:00,2017-08-19 03:00:00,2017-08-19 03:10:00,2017-08-19 03:19:00,2017-08-19 03:29:00,2017-08-19 03:38:00,2017-08-19 03:48:00,2017-08-19 03:57:00,2017-08-19 04:07:00,2017-08-19 04:17:00,2017-08-19 04:26:00,2017-08-19 04:36:00,2017-08-19 04:45:00,2017-08-19 04:55:00,2017-08-19 05:04:00,2017-08-19 05:14:00,2017-08-19 05:24:00,2017-08-19 05:33:00,2017-08-19 05:43:00,2017-08-19 05:52:00,2017-08-19 06:02:00,2017-08-19 06:11:00,2017-08-19 06:21:00,2017-08-19 06:31:00,2017-08-19 06:40:00,2017-08-19 06:50:00,2017-08-19 06:59:00,2017-08-19 07:09:00,2017-08-19 07:18:00,2017-08-19 07:28:00,2017-08-19 07:37:00,2017-08-19 07:47:00,2017-08-19 07:57:00,2017-08-19 08:06:00,2017-08-19 08:16:00,2017-08-19 08:25:00,2017-08-19 08:35:00,2017-08-19 08:44:00,2017-08-19 08:54:00,2017-08-19 09:04:00,2017-08-19 09:13:00,2017-08-19 09:23:00,2017-08-19 09:32:00,2017-08-19 09:42:00,2017-08-19 09:51:00,2017-08-19 10:01:00,2017-08-19 10:11:00,2017-08-19 10:20:00,2017-08-19 10:30:00,2017-08-19 10:39:00,2017-08-19 10:49:00,2017-08-19 10:58:00,2017-08-19 11:08:00,2017-08-19 11:18:00,2017-08-19 11:27:00,2017-08-19 11:37:00,2017-08-19 11:46:00,2017-08-19 11:56:00,2017-08-19 12:05:00,2017-08-19 12:15:00,2017-08-19 12:25:00,2017-08-19 12:34:00,2017-08-19 12:44:00,2017-08-19 12:53:00,2017-08-19 13:03:00,2017-08-19 13:12:00,2017-08-19 13:22:00,2017-08-19 13:32:00,2017-08-19 13:41:00,2017-08-19 13:51:00,2017-08-19 14:00:00,2017-08-19 14:10:00,2017-08-19 14:19:00,2017-08-19 14:29:00,2017-08-19 14:39:00,2017-08-19 14:48:00,2017-08-19 14:58:00,2017-08-19 15:07:00,2017-08-19 15:17:00,2017-08-19 15:26:00,2017-08-19 15:36:00,2017-08-19 15:46:00,2017-08-19 15:55:00,2017-08-19 16:05:00,2017-08-19 16:14:00,2017-08-19 16:24:00,2017-08-19 16:33:00,2017-08-19 16:43:00,2017-08-19 16:53:00,2017-08-19 17:02:00,2017-08-19 17:12:00,2017-08-19 17:21:00,2017-08-19 17:31:00,2017-08-19 17:40:00,2017-08-19 17:50:00,2017-08-19 18:00:00,2017-08-19 18:09:00,2017-08-19 18:19:00,2017-08-19 18:28:00,2017-08-19 18:38:00,2017-08-19 18:47:00,2017-08-19 18:57:00,2017-08-19 19:07:00,2017-08-19 19:16:00,2017-08-19 19:26:00,2017-08-19 19:35:00,2017-08-19 19:45:00,2017-08-19 19:54:00,2017-08-19 20:04:00,2017-08-19 20:14:00,2017-08-19 20:23:00,2017-08-19 20:33:00,2017-08-19 20:42:00,2017-08-19 20:52:00,2017-08-19 21:01:00,2017-08-19 21:11:00,2017-08-19 21:21:00,2017-08-19 21:30:00,2017-08-19 21:40:00,2017-08-19 21:49:00,2017-08-19 21:59:00,2017-08-19 22:08:00,2017-08-19 22:18:00,2017-08-19 22:28:00,2017-08-19 22:37:00,2017-08-19 22:47:00,2017-08-19 22:56:00,2017-08-19 23:06:00,2017-08-19 23:15:00,2017-08-19 23:25:00,2017-08-19 23:35:00,2017-08-19 23:44:00,2017-08-19 23:54:00,2017-08-20 00:03:00
CH1,1141,1186,1054,1287,895,791,718,1076,1044,1093,1442,1495,1644,1410,1755,1857,1657,1585,1702,1594,1491,1300,1175,1028,888,1140,942,1071,870,926,664,356,572,571,682,667,429,627,663,1434,1023,619,1349,1292,575,1162,729,1377,1386,1559,1226,1357,1038,2342,912,1576,1554,1769,2295,2011,2824,3198,3197,2642,2081,1886,2886,1952,2193,2505,8836,13614,12159,7435,4499,985,1184,812,1280,1515,991,510,767,775,597,550,700,650,237,362,654,923,386,1012,525,292,416,446,303,90,309,312,453,380,362,34,219,130,226,42,321,312,306,293,48,383,224,19,480,73,524,394,565,378,609,702,488,361,511,551,384,469,556,474,428,762,262,563,241,419,114,258,398,289,276,436,405,109,79
CH2,776,864,1094,1000,945,824,865,832,983,907,1271,1304,1562,1733,1752,1767,1644,1670,1977,1956,1788,1412,1422,1276,972,1109,966,1187,966,888,487,725,808,598,518,452,767,571,558,1605,1100,926,1021,1445,983,917,863,954,1017,1173,1332,1506,1384,1577,1215,1160,1468,1356,1633,2050,2466,2953,2520,1707,1044,1646,1728,1367,1410,2060,3118,3749,1616,1233,1095,749,717,679,706,766,512,391,426,603,544,443,606,482,435,482,510,646,409,868,603,268,242,223,393,268,221,244,316,119,224,148,168,195,141,181,466,433,397,346,222,265,449,149,497,283,409,399,591,282,426,325,303,314,325,332,307,433,600,481,504,479,716,474,464,421,508,461,291,254,258,308,333,260,269
CH3,592,494,590,459,520,527,543,533,468,538,807,880,948,1236,1170,1047,969,1037,1054,1529,1421,1143,1003,1003,1082,790,1021,706,419,767,404,285,476,466,357,345,575,340,425,828,790,554,678,947,813,674,491,750,596,495,724,833,882,1098,807,657,856,882,682,1035,1128,1078,1105,589,528,789,735,531,592,960,631,621,505,290,363,476,398,332,278,260,419,348,216,265,334,309,292,205,334,312,351,377,339,448,353,203,160,215,282,240,204,242,183,128,110,200,169,262,172,247,349,277,218,206,305,261,222,295,278,396,261,228,415,149,230,316,272,317,313,307,309,403,537,371,560,378,234,378,415,332,314,361,276,254,309,271,273,331,301
CH4,547,500,434,439,390,408,418,465,429,462,698,672,849,974,1035,941,949,969,1107,1284,1228,1230,1297,1271,1242,1163,1149,859,468,759,529,544,535,415,380,402,474,407,455,651,615,373,723,892,679,685,530,780,638,566,519,605,681,1095,622,698,640,748,715,695,716,772,732,796,687,540,567,600,658,650,611,530,445,363,427,388,308,240,347,341,451,321,336,196,263,337,214,220,271,250,347,343,309,330,272,262,258,276,249,183,258,305,197,264,185,241,234,317,354,291,316,396,226,285,359,361,264,409,310,449,375,317,421,363,332,381,365,360,407,387,399,418,521,439,614,462,370,409,453,395,321,320,309,311,335,324,336,358,308
CH5,411,484,356,414,329,326,332,370,425,415,535,488,668,676,727,699,732,718,983,893,877,1025,1266,1194,1057,1116,935,786,882,600,436,472,447,314,331,336,377,412,377,546,367,586,579,698,478,558,578,554,551,638,393,466,543,724,469,582,498,542,654,477,471,728,544,716,496,417,460,643,650,504,550,445,346,346,369,327,277,213,409,442,362,278,357,473,231,314,262,231,201,221,310,317,275,280,236,269,319,278,253,354,278,317,249,294,295,262,270,332,347,294,311,458,406,413,359,376,438,389,399,382,407,421,376,426,412,373,404,366,396,390,374,373,443,476,500,461,422,405,434,356,298,295,302,313,311,310,320,303,267
CH6,32,43,70,19,68,48,49,40,17,62,42,54,44,58,38,43,28,32,20,68,68,62,44,49,74,40,60,19,10,47,19,9,12,26,22,22,46,19,27,65,19,13,33,38,38,36,22,24,28,17,63,75,80,25,57,25,75,41,18,80,69,11,79,13,12,94,56,15,23,110,43,51,33,26,24,48,64,61,18,16,22,35,14,24,45,52,35,19,20,41,33,40,39,63,48,16,22,26,61,3,29,31,51,13,19,36,29,40,10,34,62,13,11,15,40,29,22,26,27,28,37,18,36,15,30,37,39,45,29,35,26,37,45,45,35,44,23,50,32,21,37,50,32,29,33,25,27,24,26
