Time	NO2	NO	NOX	Etiquetas de columna	Promedio de NO2	12 a. m.	4.197826087																																																																											
03/04/2017 07:00	NaN	NaN	0			08 a. m.	4.465359477																																																																											
03/04/2017 08:00	NaN	NaN	0			09 a. m.	2.467973856																																																																											
03/04/2017 09:00	NaN	NaN	0			10 a. m.	2.631045752																																																																											
03/04/2017 10:00	NaN	NaN	0			11 a. m.	2.865359477																																																																											
03/04/2017 11:00	NaN	NaN	0			12 p. m.	3.053921569																																																																											
03/04/2017 12:00	NaN	NaN	0			01 p. m.	1.564052288																																																																											
03/04/2017 13:00	NaN	NaN	0			02 p. m.	2.633333333																																																																											
03/04/2017 14:00	NaN	NaN	0			03 p. m.	1.614379085																																																																											
03/04/2017 15:00	NaN	NaN	0			04 p. m.	1.047712418																																																																											
03/04/2017 16:00	NaN	NaN	0			05 p. m.	0.922875817																																																																											
03/04/2017 17:00	NaN	NaN	0			06 p. m.	1.414052288																																																																											
03/04/2017 18:00	NaN	NaN	0			07 p. m.	2.233660131																																																																											
03/04/2017 19:00	NaN	NaN	0			08 p. m.	2.666339869																																																																											
03/04/2017 20:00	NaN	NaN	0			09 p. m.	2.369281046																																																																											
03/04/2017 21:00	NaN	NaN	0			10 p. m.	1.684313725																																																																											
03/04/2017 22:00	NaN	NaN	0			11 p. m.	1.030392157																																																																											
03/04/2017 23:00	NaN	NaN	0		Total Promedio de NO2		5.052793834																																																																											
04/04/2017 00:00	NaN	NaN	0		Total Promedio de NO		12.19433594																																																																											
04/04/2017 01:00	NaN	NaN	0		Total Promedio de NOX		1.921391612																																																																											
04/04/2017 02:00	NaN	NaN	0																																																																															
04/04/2017 03:00	NaN	NaN	0																																																																															
04/04/2017 04:00	NaN	NaN	0																																																																															
04/04/2017 05:00	NaN	NaN	0																																																																															
04/04/2017 06:00	NaN	NaN	0																																																																															
04/04/2017 07:00	NaN	NaN	0																																																																															
04/04/2017 08:00	NaN	NaN	0																																																																															
04/04/2017 09:00	NaN	NaN	0																																																																															
04/04/2017 10:00	NaN	NaN	0																																																																															
