Fecha	PAH
4.28E+02	             NaN
4.29E+02	11.00
4.30E+02	             NaN
4.31E+02	             NaN
4.32E+02	             NaN
4.33E+02	             NaN
4.34E+02	             NaN
4.35E+02	             NaN
4.36E+02	             NaN
4.37E+02	8.00
4.38E+02	             NaN
4.39E+02	             NaN
4.40E+02	             NaN
4.41E+02	             NaN
4.42E+02	             NaN
4.43E+02	             NaN
4.44E+02	             NaN
4.45E+02	9.00
4.46E+02	             NaN
4.47E+02	             NaN
4.48E+02	             NaN
4.49E+02	             NaN
4.50E+02	             NaN
4.51E+02	             NaN
4.52E+02	             NaN
4.53E+02	3.00
4.54E+02	             NaN
4.55E+02	             NaN
4.56E+02	             NaN
4.57E+02	             NaN
4.58E+02	             NaN
4.59E+02	             NaN
5.00E+02	             NaN
5.01E+02	7.00
5.02E+02	             NaN
5.03E+02	             NaN
5.04E+02	             NaN
5.05E+02	             NaN
5.06E+02	             NaN
5.07E+02	             NaN
5.08E+02	             NaN
5.09E+02	21.00
5.10E+02	             NaN
5.11E+02	             NaN
5.12E+02	             NaN
5.13E+02	             NaN
5.14E+02	             NaN
5.15E+02	             NaN
5.16E+02	             NaN
5.17E+02	14.00
5.18E+02	             NaN
5.19E+02	             NaN
5.20E+02	             NaN
5.21E+02	             NaN
5.22E+02	             NaN
5.23E+02	             NaN
5.24E+02	             NaN
5.25E+02	7.00
5.26E+02	             NaN
5.27E+02	             NaN
5.28E+02	             NaN
5.29E+02	             NaN
5.30E+02	             NaN
5.31E+02	             NaN
5.32E+02	             NaN
5.33E+02	8.00
5.34E+02	             NaN
5.35E+02	             NaN
5.36E+02	             NaN
5.37E+02	             NaN
5.38E+02	             NaN
5.39E+02	             NaN
5.40E+02	             NaN
5.41E+02	7.00
5.42E+02	             NaN
5.43E+02	             NaN
5.44E+02	             NaN
5.45E+02	             NaN
5.46E+02	             NaN
5.47E+02	             NaN
5.48E+02	             NaN
5.49E+02	2.00
5.50E+02	             NaN
5.51E+02	             NaN
5.52E+02	             NaN
5.53E+02	             NaN
5.54E+02	             NaN
5.55E+02	             NaN
5.56E+02	             NaN
5.57E+02	15.00
5.58E+02	             NaN
5.59E+02	             NaN
6.00E+02	             NaN
6.01E+02	             NaN
6.02E+02	             NaN
6.03E+02	             NaN
6.04E+02	             NaN
6.05E+02	12.00
