start	MASA
07/04/2017 17:32	0
07/04/2017 17:33	12.94546
07/04/2017 17:42	11.31944
07/04/2017 17:52	11.08954
07/04/2017 18:01	13.66442
07/04/2017 18:11	10.52106
07/04/2017 18:20	10.0111
07/04/2017 18:30	9.10822
07/04/2017 18:40	9.9902
07/04/2017 18:49	10.03618
07/04/2017 18:59	9.51786
07/04/2017 19:08	8.9243
07/04/2017 19:18	9.58474
07/04/2017 19:27	9.89824
07/04/2017 19:37	0
07/04/2017 19:48	10.54196
07/04/2017 19:57	9.8648
07/04/2017 20:07	10.14486
07/04/2017 20:16	9.75612
07/04/2017 20:26	9.70596
07/04/2017 20:35	0
07/04/2017 20:38	10.10306
07/04/2017 20:47	8.6526
07/04/2017 20:57	10.22428
07/04/2017 21:06	9.63908
07/04/2017 21:16	10.88054
07/04/2017 21:25	9.08732
07/04/2017 21:35	10.0529
07/04/2017 21:45	9.33394
07/04/2017 21:54	9.53458
07/04/2017 22:04	12.27666
07/04/2017 22:13	8.25968
07/04/2017 22:23	7.95036
07/04/2017 22:32	7.4404
07/04/2017 22:42	7.31918
07/04/2017 22:51	6.9597
07/04/2017 23:01	7.49892
07/04/2017 23:11	6.54588
07/04/2017 23:20	6.52498
07/04/2017 23:30	5.9356
07/04/2017 23:39	5.54268
07/04/2017 23:49	8.07994
07/04/2017 23:58	5.45908
08/04/2017 00:08	5.77676
08/04/2017 00:18	5.25008
08/04/2017 00:27	6.61694
08/04/2017 00:37	3.99608
08/04/2017 00:46	3.91666
08/04/2017 00:56	4.28868
08/04/2017 01:17	4.41408
08/04/2017 01:27	3.54464
08/04/2017 01:36	3.762
08/04/2017 01:46	4.00026
08/04/2017 01:55	3.64078
08/04/2017 02:05	2.76298
08/04/2017 02:15	3.45268
08/04/2017 02:24	2.4244
08/04/2017 02:34	3.00124
08/04/2017 02:43	2.75044
08/04/2017 02:53	3.22696
08/04/2017 03:02	3.3858
08/04/2017 03:12	3.1141
08/04/2017 03:22	2.75462
08/04/2017 03:31	3.42342
08/04/2017 03:41	3.4903
08/04/2017 03:50	2.83404
08/04/2017 04:00	2.85912
08/04/2017 04:09	2.90092
08/04/2017 04:19	2.31572
08/04/2017 04:29	2.21958
08/04/2017 04:38	2.79642
08/04/2017 04:48	3.51956
08/04/2017 04:57	3.05558
08/04/2017 05:07	2.43694
08/04/2017 05:16	3.21024
08/04/2017 05:26	3.68258
08/04/2017 05:36	3.16426
08/04/2017 05:45	2.81314
08/04/2017 05:55	3.3231
08/04/2017 06:04	2.74626
08/04/2017 06:14	3.41506
08/04/2017 06:23	3.21442
08/04/2017 06:33	2.2781
08/04/2017 06:43	3.12664
08/04/2017 06:52	2.67102
08/04/2017 07:02	3.35654
08/04/2017 07:11	3.22696
08/04/2017 07:21	3.23532
08/04/2017 07:30	3.10992
08/04/2017 07:40	2.28646
08/04/2017 07:50	2.5498
08/04/2017 07:59	2.75044
08/04/2017 08:09	3.0723
08/04/2017 08:18	3.04304
08/04/2017 08:28	4.00444
08/04/2017 08:37	3.89576
08/04/2017 08:47	4.30958
08/04/2017 08:57	4.0755
08/04/2017 09:06	5.29606
08/04/2017 09:16	5.81438
08/04/2017 09:25	6.52916
08/04/2017 09:35	6.1237
08/04/2017 09:44	6.67964
08/04/2017 09:54	6.67546
08/04/2017 10:04	7.106
08/04/2017 10:13	8.51466
08/04/2017 10:23	7.71628
08/04/2017 10:32	9.49696
08/04/2017 10:42	8.3809
08/04/2017 10:51	7.524
08/04/2017 11:01	6.80086
08/04/2017 11:10	8.4018
08/04/2017 11:20	6.9388
08/04/2017 11:30	12.43968
08/04/2017 11:39	8.6526
08/04/2017 11:49	10.95996
08/04/2017 11:58	11.96734
08/04/2017 12:08	10.02364
08/04/2017 12:17	7.74972
08/04/2017 12:27	8.36418
08/04/2017 12:37	7.7748
08/04/2017 12:46	7.6703
08/04/2017 12:56	4.1173
08/04/2017 13:05	7.63268
08/04/2017 13:15	8.01724
08/04/2017 13:24	7.95454
08/04/2017 13:34	8.51466
08/04/2017 13:44	8.12592
08/04/2017 13:53	9.50532
08/04/2017 14:03	8.34746
08/04/2017 14:12	9.7394
08/04/2017 14:22	9.68088
08/04/2017 14:31	7.11436
08/04/2017 14:41	8.7362
08/04/2017 14:51	8.2555
08/04/2017 15:00	7.68284
08/04/2017 15:10	6.57096
08/04/2017 15:19	8.15936
08/04/2017 15:29	8.15518
08/04/2017 15:38	7.08928
08/04/2017 15:48	6.88446
08/04/2017 15:58	6.37032
08/04/2017 16:07	6.47482
08/04/2017 16:17	7.22304
08/04/2017 16:26	8.80726
08/04/2017 16:36	7.4613
08/04/2017 16:45	8.66514
08/04/2017 16:55	7.97962
08/04/2017 17:05	6.9806
08/04/2017 17:14	6.28254
08/04/2017 17:24	5.73914
08/04/2017 17:33	5.60538
08/04/2017 17:43	6.47482
08/04/2017 17:52	5.95232
08/04/2017 18:02	5.63046
08/04/2017 18:12	6.17804
08/04/2017 18:21	5.1205
08/04/2017 18:31	5.38802
08/04/2017 18:40	7.45294
08/04/2017 18:50	6.2909
08/04/2017 18:59	5.3922
08/04/2017 19:09	5.53014
08/04/2017 19:19	5.86872
08/04/2017 19:28	6.00666
08/04/2017 19:38	5.54268
08/04/2017 19:47	6.07772
08/04/2017 19:57	6.27836
08/04/2017 20:06	5.70988
08/04/2017 20:16	6.57932
08/04/2017 20:26	5.3713
08/04/2017 20:35	5.60956
08/04/2017 20:45	5.34204
08/04/2017 20:54	6.21984
08/04/2017 21:04	6.04846
08/04/2017 21:13	5.7893
08/04/2017 21:23	6.05682
08/04/2017 21:32	5.15394
08/04/2017 21:42	11.3487
08/04/2017 21:52	6.95134
08/04/2017 22:01	21.4225
08/04/2017 22:11	8.1928
08/04/2017 22:20	5.59284
08/04/2017 22:30	12.10528
08/04/2017 22:39	12.41042
08/04/2017 22:49	9.22108
08/04/2017 22:59	7.76644
08/04/2017 23:08	6.59186
08/04/2017 23:18	6.51662
08/04/2017 23:27	5.88126
08/04/2017 23:37	6.31598
08/04/2017 23:46	6.00666
08/04/2017 23:56	6.0192
09/04/2017 00:06	5.40892
09/04/2017 00:15	6.02756
09/04/2017 00:25	6.82176
09/04/2017 00:34	6.77996
09/04/2017 00:44	6.0819
09/04/2017 00:53	6.74234
09/04/2017 01:03	4.91568
09/04/2017 01:13	5.9147
09/04/2017 01:22	5.42146
09/04/2017 01:32	5.3504
09/04/2017 01:41	5.51342
09/04/2017 01:51	5.23754
09/04/2017 02:00	5.61792
09/04/2017 02:10	6.00248
09/04/2017 02:20	6.02338
09/04/2017 02:29	5.59702
09/04/2017 02:39	6.13624
09/04/2017 02:48	6.39122
09/04/2017 02:58	6.73816
09/04/2017 03:07	6.6462
09/04/2017 03:17	7.20632
09/04/2017 03:27	7.26484
09/04/2017 03:36	4.9533
09/04/2017 03:46	6.70054
09/04/2017 03:55	6.51244
09/04/2017 04:05	6.08608
09/04/2017 04:14	6.34524
09/04/2017 04:24	6.14878
09/04/2017 04:34	7.32754
09/04/2017 04:43	7.66612
09/04/2017 04:53	8.34328
09/04/2017 05:02	9.33812
09/04/2017 05:12	8.39344
09/04/2017 05:21	8.64424
09/04/2017 05:31	7.86676
09/04/2017 05:41	8.45196
09/04/2017 05:50	8.8825
09/04/2017 06:00	7.5867
09/04/2017 06:09	7.5867
09/04/2017 06:19	6.93462
09/04/2017 06:28	5.80184
09/04/2017 06:38	7.315
09/04/2017 06:48	8.67768
09/04/2017 06:57	7.67866
09/04/2017 07:07	7.31918
09/04/2017 07:16	7.43204
09/04/2017 07:26	6.23238
09/04/2017 07:35	7.3777
09/04/2017 07:45	8.00052
09/04/2017 07:55	7.67866
09/04/2017 08:04	8.15518
09/04/2017 08:14	7.733
09/04/2017 08:23	9.3214
09/04/2017 08:33	13.53484
09/04/2017 08:42	10.03618
09/04/2017 08:52	9.47606
09/04/2017 09:01	10.54196
09/04/2017 09:11	8.86996
09/04/2017 09:21	8.92848
09/04/2017 09:30	9.80628
09/04/2017 09:40	12.40206
09/04/2017 09:49	9.73522
09/04/2017 09:59	12.56508
09/04/2017 10:08	10.75096
09/04/2017 10:18	9.71014
09/04/2017 10:28	10.4709
09/04/2017 10:37	10.90144
09/04/2017 10:47	11.45738
09/04/2017 10:56	10.60466
09/04/2017 11:06	10.64646
